Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Year,Month
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149543,86.16,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149544,166.18,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149545,327.78,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149546,527.83,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149547,72.29,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149548,1.77,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-19,catering services,"skills, deregulation and local growth - vocational education directorate",baxterstorey ltd,149841,218.33,PSHE Devolved Admin-Catering Services,rg6 1pt,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149884,1353.46,NEWTON FUND - Egypt-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149885,815.89,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149887,17.11,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149888,699.87,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149889,2459.12,NEWTON FUND - India-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149890,15.84,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149891,7.02,Newton Fund - Singapore-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149892,6.64,Newton Fund - Singapore-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149893,2.22,Newton Fund - Singapore-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149894,18.26,Newton Fund - Singapore-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149895,301.8,NEWTON FUND - Egypt-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
